time,a.s.x,a.s.y,a.v.x,a.v.y,a.a.x,a.a.y,b.s.x,b.s.y,b.v.x,b.v.y,b.a.x,b.a.y
2.0151,0.139557,0.163854,-0.0179956,0.0282863,0,0,0.261953,0.217656,0.117996,0.0717137,0,0
2.0152,0.139555,0.163857,-0.0179956,0.0282863,0,0,0.261965,0.217663,0.117996,0.0717137,0,0
2.0153,0.139553,0.16386,-0.0179956,0.0282863,0,0,0.261977,0.21767,0.117996,0.0717137,0,0
2.0154,0.139551,0.163863,-0.0179956,0.0282863,0,0,0.261989,0.217677,0.117996,0.0717137,0,0
2.0155,0.139549,0.163866,-0.0179956,0.0282863,0,0,0.262001,0.217684,0.117996,0.0717137,0,0
2.0156,0.139548,0.163868,-0.0179956,0.0282863,0,0,0.262012,0.217692,0.117996,0.0717137,0,0
2.0157,0.139546,0.163871,-0.0179956,0.0282863,0,0,0.262024,0.217699,0.117996,0.0717137,0,0
2.0158,0.139544,0.163874,-0.0179956,0.0282863,0,0,0.262036,0.217706,0.117996,0.0717137,0,0
2.0159,0.139542,0.163877,-0.0179956,0.0282863,0,0,0.262048,0.217713,0.117996,0.0717137,0,0
2.016,0.13954,0.16388,-0.0179956,0.0282863,0,0,0.26206,0.21772,0.117996,0.0717137,0,0
2.0161,0.139539,0.163883,-0.0179956,0.0282863,0,0,0.262071,0.217727,0.117996,0.0717137,0,0
2.0162,0.139537,0.163885,-0.0179956,0.0282863,0,0,0.262083,0.217735,0.117996,0.0717137,0,0
2.0163,0.139535,0.163888,-0.0179956,0.0282863,0,0,0.262095,0.217742,0.117996,0.0717137,0,0
2.0164,0.139533,0.163891,-0.0179956,0.0282863,0,0,0.262107,0.217749,0.117996,0.0717137,0,0
2.0165,0.139531,0.163894,-0.0179956,0.0282863,0,0,0.262119,0.217756,0.117996,0.0717137,0,0
2.0166,0.13953,0.163897,-0.0179956,0.0282863,0,0,0.26213,0.217763,0.117996,0.0717137,0,0
2.0167,0.139528,0.1639,-0.0179956,0.0282863,0,0,0.262142,0.21777,0.117996,0.0717137,0,0
2.0168,0.139526,0.163902,-0.0179956,0.0282863,0,0,0.262154,0.217778,0.117996,0.0717137,0,0
2.0169,0.139524,0.163905,-0.0179956,0.0282863,0,0,0.262166,0.217785,0.117996,0.0717137,0,0
2.017,0.139522,0.163908,-0.0179956,0.0282863,0,0,0.262178,0.217792,0.117996,0.0717137,0,0
2.0171,0.139521,0.163911,-0.0179956,0.0282863,0,0,0.262189,0.217799,0.117996,0.0717137,0,0
2.0172,0.139519,0.163914,-0.0179956,0.0282863,0,0,0.262201,0.217806,0.117996,0.0717137,0,0
2.0173,0.139517,0.163917,-0.0179956,0.0282863,0,0,0.262213,0.217813,0.117996,0.0717137,0,0
2.0174,0.139515,0.163919,-0.0179956,0.0282863,0,0,0.262225,0.217821,0.117996,0.0717137,0,0
2.0175,0.139513,0.163922,-0.0179956,0.0282863,0,0,0.262237,0.217828,0.117996,0.0717137,0,0
2.0176,0.139512,0.163925,-0.0179956,0.0282863,0,0,0.262248,0.217835,0.117996,0.0717137,0,0
2.0177,0.13951,0.163928,-0.0179956,0.0282863,0,0,0.26226,0.217842,0.117996,0.0717137,0,0
2.0178,0.139508,0.163931,-0.0179956,0.0282863,0,0,0.262272,0.217849,0.117996,0.0717137,0,0
2.0179,0.139506,0.163933,-0.0179956,0.0282863,0,0,0.262284,0.217857,0.117996,0.0717137,0,0
2.018,0.139504,0.163936,-0.0179956,0.0282863,0,0,0.262296,0.217864,0.117996,0.0717137,0,0
2.0181,0.139503,0.163939,-0.0179956,0.0282863,0,0,0.262307,0.217871,0.117996,0.0717137,0,0
2.0182,0.139501,0.163942,-0.0179956,0.0282863,0,0,0.262319,0.217878,0.117996,0.0717137,0,0
2.0183,0.139499,0.163945,-0.0179956,0.0282863,0,0,0.262331,0.217885,0.117996,0.0717137,0,0
